,Label
21,__label__NEUTRAL JohnBarilaroMP visited Western Sydney University’s Vietnam campus meeting emerging business leaders and learning… httpstcoXoUpBHtL
22,__label__POSITIVE Had a great trip to Wollongong for the third UOW MRI workshop with zoeyisherwood YannChye and the other lovely Un… httpstcoFyHyVLR
23,__label__POSITIVE On Monday at Microsofts Ignite conference the company also showed off a new quantum computer control system devel… httpstcohVrYeiII
24,__label__POSITIVE A new University of Sydney trial lends weight to the expression ‘man’s best friend’ showing a sample of new dog ow… httpstcohlhgrpnI
25,__label__NEUTRAL What an honour to have attended the ceremony for Sir Greg Winters honorary doctorate from the University of Sydney… httpstcotbVvMuIt
26,__label__NEUTRAL A highprofile obstetrician and gynaecologist who is also a professor with the University of Sydney made remarks t… httpstcoFJXJtJOz
27,__label__NEUTRAL Gerek gerek dont chu geddit  The University of Sydney httpstcowCdNdADfP
28,__label__NEUTRAL Classes done for the semester and hopefully for this degree crossedfingersmediumskintone  The University of Sydney httpstcooPkrYdmv
29,__label__NEUTRAL The projectsusyd project management program academic team for the University of Sydney before the graduation cer… httpstcoGtWboCBQzw
30,__label__POSITIVE This study is being conducted by the Department of Gender and Cultural Studies University of Sydney along with c… httpstcogumuYRk
31,__label__NEGATIVE VejGee They’re not farmers it’s even worse they’re veterinarian students from Royal Dick School of Veterina… httpstcoDCtgaAox
32,__label__NEUTRAL Why is the University of Sydney being promoted on my timeline bitch I go to WSU leave me alone
33,__label__POSITIVE I love November in Australia  mainly because of the fabulous jacaranda seen here at Sydney University httpstcogPyhwRkZ
34,__label__NEUTRAL glennwofford SirRoby heavyg Tacticalreview DerekEBoucher Nunyabus Gofundyourself SurvivorKitty… httpstcotneuCAjo
35,__label__NEUTRAL The University of Sydneys Westmead Applied Research Centre has been awarded a  million grant from Google to … httpstcobeFpbvFRFF
36,__label__POSITIVE Thank you so much for recognizing me today during your State of the University address President Davies It was tru… httpstcoickeRou
37,__label__POSITIVE Researchers from the University of Sydney largely thought the meals in the meals kits were healthy and only realise… httpstcoYZoqknBv
38,__label__NEUTRAL At cedanews ChiefsGE in Adelaide listening to Professor Rae Cooper from Sydney University Business Schòol pane… httpstcoIeglpnYeDe
39,__label__NEUTRAL DrWaldo SirRoby heavyg Tacticalreview DerekEBoucher Nunyabus Gofundyourself SurvivorKitty… httpstcoFtoeRJX
40,__label__POSITIVE Do You Have a Digital Twin Greetings from the Spatial Futures Forum  on Intelligent Cities and Transport at the Un… httpstcouWWFGGegwa
41,__label__NEUTRAL The SydneyUni Graduate Choir presents Brahms choral masterpiece A German Requiem  a towering work of the chora… httpstcorLLRbVwfY
42,__label__NEUTRAL Sydney University Rugby Club are seeking a Director of Women amp Juniors Thank you to the generous attendees at the… httpstcoeNyRdiLN
43,__label__POSITIVE Focus on delivering positive outcomes for patients and the rewards will follow  UTS University of Technology… httpstcobPUUWfqn
44,__label__NEUTRAL Creatine can help improve memory and intelligence along with muscle endurance according to an Australian study from the University of Sydney
45,"__label__POSITIVE BFI MAlbadrawi Australian film Starstruck had an Esther Williams moment
Terry also gets one of the most memora… httpstcowIsYvodzTx"
46,__label__NEUTRAL TRIVIA ANSWER April  the University of Sydney held the st womens baseball national championships  the A… httpstcosHdRJyhPi
47,__label__POSITIVE We are also particularly excited that our very own Prof Marian Baird a global gender influencer from University o… httpstcocIkydiRMS
48,__label__NEGATIVE Policing the Berlin Wall the ghostly photos taken by the Stasis hidden cameras   Donna West Brett University of… httpstcoKlrEQ
49,__label__NEUTRAL Drawing people from all across the world Australia has emerged as one of the topnotch education destinations in… httpstcolleMOuM
50,"__label__NEUTRAL essentially become Americas governmentsponsored religion

medicalsymbolThe Dutch Protocol

Dr John Whitehall Prof of Pe… httpstcoVUAiuuQdR"
51,__label__NEUTRAL JackyNinjakitty Would you condider reading this from SimonChapman Emeritus Professor in Public Health at the Un… httpstcoIiTIdLclUT
52,__label__POSITIVE “Scientists have a moral obligation to warn humanity of any great threat” said Dr Thomas Newsome from the School… httpstcotsOWEhDE
53,__label__POSITIVE The FIRSTregistered Robotics Scholarship is currently available to highachieving international students who apply for an un… httpstcorYldcfLox
54,__label__POSITIVE When I wanted to learn coaching it was important for me to get the best training possible It took three and a half… httpstcoXFetIRUcQC
55,"__label__NEUTRAL St Pauls College at the University of Sydney May 

httpstcoewYhSEwtf httpstcoHVYromwdQ"
56,__label__POSITIVE The Research Centre for Children and Families at the university of Sydney Camperdown has a fixed term  year full… httpstcorOzwwJlgp
57,__label__NEUTRAL ATMC is in association with FederationUniversity provides Bachelors’ degree and Masters’ degree in the field of I… httpstcohKIgCsDV
58,"__label__POSITIVE Thank you Dallas great shot 

Thank you Sydney University School of Architecture amp Design SydneyADPRes for inv… httpstcoFBBNEEn"
59,__label__NEUTRAL Being overweight or obese in your s can take up to  years off your life according to researchers at the University of Sydney
60,__label__POSITIVE NEW REPORT The unprecedented and rapid explosion in social media use in Myanmar has left many young people vulner… httpstcoHjQdCwZ
61,__label__NEUTRAL At the next community forum on Mon  November Dr Ed Annand Equine Vet from the University of Sydney will give pre… httpstcotVJpsDxEA
62,__label__NEUTRAL This years Western Sydney University Catalyst West event has over  people reimagining the future of Western Syd… httpstcowRIEfVhSg
63,__label__NEUTRAL The University of Sydneys Westmead Applied Research Centre has been awarded a  million grant from Google to … httpstcoiMztQeMhO
64,__label__NEUTRAL Lecturer  Senior Lecturer Physiotherapy  The University of Sydney  Sydney Australia httpstcoZGjdjDGFt
65,__label__POSITIVE Researchers at University of Sydney are interested in hearing from clinicians about their views and experiences of… httpstcoLULortF
66,__label__NEUTRAL EndangeredFactz Because I am a student of the university of Sydneyand we need to write a news feature I will wri… httpstcoxOzAFwPONO
67,__label__NEUTRAL Join the screening of Our Youth in Taiwan on  November at Macquarie University This documentary the winner of t… httpstcouvbCqtf
68,__label__POSITIVE Join us at the iconic Sydney Tower to celebrate  years of Bond University Network in the sky with fellow Bondies… httpstcokTXHNeZeV
69,__label__POSITIVE UNAANational Western Sydney University has signed the UN Sustainable Development Solutions Network Higher Educati… httpstcoqJeNftOt
70,__label__POSITIVE aliceleung Hi Alice I now coordinate the one at University of Sydney  happy to answer questions
71,__label__POSITIVE Just Sold by Eva Lu A HIGH RETURNS STUDENT INVESTMENT Walk to University of Sydney Located at  Broadway… httpstcoyxKMVYj
72,__label__POSITIVE Were working on bug fixes and optimisation of process Well be back bigger and better early in the new year for W… httpstcoBrbwVEkE
73,__label__POSITIVE There wasnt any horsin around when new University of Minnesota President Joan Gabel came to the UMNCrookston cam… httpstcokuYbbpmwtg
74,__label__POSITIVE University of Western Sydney science student Says it all really doesnt it Why are taxpayers funding student pl… httpstcoVGqnUyT
75,__label__POSITIVE TRIVIA What year did the University of Sydney host the first Australia womens baseball national championships… httpstcoBwooaZl
76,__label__NEUTRAL ProCan how a database of cancer proteins may transform treatment  The University of Sydney httpstcoNiOfjqX
77,"__label__NEUTRAL Please join us Wednesday Nov th to help celebrate the college signings of the following soccer players
Ashlyn… httpstcoiJoNpwvP"
78,__label__NEUTRAL The study which is published in the journal BioScience by researchers from the University of Sydney Oregon State… httpstcoOzuJGvOJL
79,"__label__POSITIVE Sydney Australia  Seminar Australia

Date Tuesday November 
Time  PM
Location New Law Seminar Room  Univ… httpstcoBJGXFNjNdj"
80,__label__NEUTRAL A University of Sydney study used reins containing embedded loadcells to measure the rein tension employed when co… httpstcofdzjVtard
81,__label__NEGATIVE Hi late nighters some classmates have started a petition for our faculty to have a formal enquiry towards a staff… httpstcosMdikl
82,__label__NEUTRAL It has signed up for a day trip to the strip nets of the trip including the University of Sydney Alexandria Bond… httpstcoZQAATptKDh
83,__label__NEUTRAL The University of Sydney is the oldest university in Australia It is one of the premier academic halls in the Sout… httpstcooNNbdqbLr
84,__label__POSITIVE The University of Sydney is Australias largest university and one of the most popular universities for overseas st… httpstcoTLOVuQxh
85,__label__NEUTRAL There is an open book in the middle of the cross that symbolizes Oxford University The University of Sydney was fo… httpstcofBAKzJiIy
86,"__label__POSITIVE The story of the Sydney University emblem
 The top lion of the University of Sydneys school emblem is the Lion Pas… httpstcolBMOiiH"
87,__label__NEUTRAL The University of Sydney badge was awarded in  by the British Coat of Arms The upper part of LionPassantGuarda… httpstcoNGSmfPO
88,"__label__POSITIVE World scientists declare climate emergency

To quote a Facebook friend of mine Yawn

More than  scientists… httpstcoCnVnWeSPfv"
89,__label__NEUTRAL The declaration has been signed by scientists from the University of Sydney Australia Oregon State University and… httpstcoQiwPuHud
90,__label__NEUTRAL “A broader set of indicators should be monitored including human population growth meat consumption treecover… httpstcolDlnMPuhX
91,"__label__POSITIVE Over  scientists declare climate emergency and call for urgent action

More than  scientists around the… httpstcoFwiWNqBi"
92,__label__POSITIVE gt scientists call on global leaders to take action in the midst of a ClimateEmergency They say a warmer plan… httpstcoKIYTyeKur
93,__label__POSITIVE Love this choose your own internship adventure from UTS Careers University of Technology Sydney Biomed Sci amp Biote… httpstcohRGDzdhx
94,__label__NEUTRAL CloverMoore Amen to that  and I would add afterpublic transport needs  including the public transport needs o… httpstcofNnkYCwMal
95,__label__POSITIVE A huge congratulations to Androvian Clare Wheeler She has been named cocaptain of the Newcastle Jets for the upco… httpstcojTWHSvPooK
96,__label__NEGATIVE Despite heavy investment in startups the University of Sydney Business School has found the uptake of tech is lack… httpstcozjCtuAACsy
97,__label__NEUTRAL  January   STUDY OF ASTRONOMY PROFESSOR BRAGG ON ITS VALUE SUGGESTED CHAIR AT ADELAIDE UNIVERSITY  The D… httpstcovZCETEEA
98,__label__NEUTRAL The University of Technology Sydney UTSEngage has just announced the undergraduate Academic Excellence… httpstcodYghWvGQSb
99,__label__NEGATIVE We the students of Sydney Medical Program write to express our disappointment upon reading the recent article cal… httpstcoUbJySgGe
