,tweet,username,Clean Tweets
36,@fAiDaRaveE UNSW Sydney ค่ะ,thecatja,fAiDaRaveE UNSW Sydney ค่ะ
37,@trials4now @Christian_CCRS @jcu @CanTeenAus @POCOG1 @UNSWMedicine @UNSWObGyn_Paeds @CancerSPHERE @thekca… https://t.co/HI0FoWztK3,usansomdaly,trialsnow ChristianCCRS jcu CanTeenAus POCOG UNSWMedicine UNSWObGynPaeds CancerSPHERE thekca… httpstcoHIFoWztK
38,@itxaameer @UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia Think about it.,aleksandarplatz,itxaameer UNSW rezaaslan UNSWCentreIdeas bairdjulia Think about it
39,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford How is it that a woman so subjugated by the patriarchal syste… https://t.co/Ol41Rs2jXn,Justifier2,UNSW monaeltahawy UNSWCentreIdeas clementineford How is it that a woman so subjugated by the patriarchal syste… httpstcoOlRsjXn
40,"@barry74478658 @monaeltahawy @UNSW Uh, which position are you referring to? Are you seriously suggesting NOT report… https://t.co/yI53gujeim",MadCityJess,barry monaeltahawy UNSW Uh which position are you referring to Are you seriously suggesting NOT report… httpstcoyIgujeim
41,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford No modern feminism is.,proud_ozzie,UNSW monaeltahawy UNSWCentreIdeas clementineford No modern feminism is
42,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford Guess where im not sending my kids to university,proud_ozzie,UNSW monaeltahawy UNSWCentreIdeas clementineford Guess where im not sending my kids to university
43,Ewwwwww! One old woman with fake glaring hair that looks like a clown is missing a wig.. Edna has not aged well. https://t.co/yXS2hVjdxh,amberseethru,Eww One old woman with fake glaring hair that looks like a clown is missing a wig Edna has not aged well httpstcoyXShVjdxh
44,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford But much safer to say so in a western patriarchy than a middle eastern patriarchy.,DuParakeet,UNSW monaeltahawy UNSWCentreIdeas clementineford But much safer to say so in a western patriarchy than a middle eastern patriarchy
45,@UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia @Carriageworks Religion is the politicization of faith.,3kindsBlue,UNSW rezaaslan UNSWCentreIdeas bairdjulia Carriageworks Religion is the politicization of faith
46,@UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia Let’s try it and see.,3kindsBlue,UNSW rezaaslan UNSWCentreIdeas bairdjulia Let’s try it and see
47,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford It’s conspiracy theory of the highest order to think all men… https://t.co/vwID1mnVGs,honorsson,UNSW monaeltahawy UNSWCentreIdeas clementineford It’s conspiracy theory of the highest order to think all men… httpstcovwIDmnVGs
48,"@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford Either the patriarchy evolved from primal mammalian order, ba… https://t.co/EWnowVwHC5",honorsson,UNSW monaeltahawy UNSWCentreIdeas clementineford Either the patriarchy evolved from primal mammalian order ba… httpstcoEWnowVwHC
49,"@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford To call patriarchy an ideology ignores human history, and the… https://t.co/1RXd0fne7v",honorsson,UNSW monaeltahawy UNSWCentreIdeas clementineford To call patriarchy an ideology ignores human history and the… httpstcoRXdfnev
50,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford Except it’s not an ideology. It’s the default natural state.… https://t.co/b6jppLaUc6,honorsson,UNSW monaeltahawy UNSWCentreIdeas clementineford Except it’s not an ideology It’s the default natural state… httpstcobjppLaUc
51,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford Abd definitely most widespread,Sabi98288193,UNSW monaeltahawy UNSWCentreIdeas clementineford Abd definitely most widespread
52,@UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia CAN there be? Yes. Would I want to live in it? I can't imagine how.,Robbymack87,UNSW rezaaslan UNSWCentreIdeas bairdjulia CAN there be Yes Would I want to live in it I cant imagine how
53,@Johncon26476764 @UNSW @clementine_ford @monaeltahawy @UNSWCentreIdeas All religions r promoting patriarchal agenda… https://t.co/ONMVqHqGXK,Sabi98288193,Johncon UNSW clementineford monaeltahawy UNSWCentreIdeas All religions r promoting patriarchal agenda… httpstcoONMVqHqGXK
54,@muspelhem @UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford Reading comprehension really isn’t your strong suit,DamienEvans7,muspelhem UNSW monaeltahawy UNSWCentreIdeas clementineford Reading comprehension really isn’t your strong suit
55,"@aleksandarplatz @UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia If it can’t, then why should it ?",itxaameer,aleksandarplatz UNSW rezaaslan UNSWCentreIdeas bairdjulia If it can’t then why should it 
56,"MJ abused boys.
 Scientia Fellow and Associate Professor of Criminology @UNSW Michael Salter is a hero. Retweet!… https://t.co/RuxoFPUQHa",CandyPinNow,"MJ abused boys
 Scientia Fellow and Associate Professor of Criminology UNSW Michael Salter is a hero Retweet… httpstcoRuxoFPUQHa"
57,@UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia @Carriageworks Great talk tonight #unswideas,ophiegordon,UNSW rezaaslan UNSWCentreIdeas bairdjulia Carriageworks Great talk tonight unswideas
58,"@UNSW @clementine_ford @monaeltahawy @UNSWCentreIdeas It's not easy earning a living from being emotionally disturbed.
Some people try.",anu_taylor,"UNSW clementineford monaeltahawy UNSWCentreIdeas Its not easy earning a living from being emotionally disturbed
Some people try"
59,"@bryanrivers17 @bettsalas @AndrewYang I can show you so much if you would have an open mind

Drugs came from Purdu… https://t.co/tqFaH7nOH3",MilosMaridalen,"bryanrivers bettsalas AndrewYang I can show you so much if you would have an open mind

Drugs came from Purdu… httpstcotqFaHnOH"
60,"@UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia Right, it can't. But it should.",aleksandarplatz,UNSW rezaaslan UNSWCentreIdeas bairdjulia Right it cant But it should
61,"@MadCityJess @barry_bender5 @UNSW @monaeltahawy @UNSWCentreIdeas @Carriageworks Why are you disgusted?
And why do y… https://t.co/Lv4uXV3Wk6",DrAshSaleh,"MadCityJess barrybender UNSW monaeltahawy UNSWCentreIdeas Carriageworks Why are you disgusted
And why do y… httpstcoLvuXVWk"
62,"@DrGregGoins @nytimes @williamdoylenyc Sure, it's been hectic. Send me a note to my UNSW e-mail name.surname(at)https://t.co/B8q34iUPJb",pasi_sahlberg,DrGregGoins nytimes williamdoylenyc Sure its been hectic Send me a note to my UNSW email namesurnameathttpstcoBqiUPJb
63,"@UNSW @clementine_ford @monaeltahawy @UNSWCentreIdeas Surprised, so surprised. Did David Gilmour sign the echo chamber you yell into?",thisguynotsure,UNSW clementineford monaeltahawy UNSWCentreIdeas Surprised so surprised Did David Gilmour sign the echo chamber you yell into
64,Educators like @DrKellermann are continuously leveraging technology tools not to reinvent but to redefine learning… https://t.co/B0IPD1PZqX,stevejna,Educators like DrKellermann are continuously leveraging technology tools not to reinvent but to redefine learning… httpstcoBIPDPZqX
65,"Every uni is finished for the year now, but us unsw students still got a month left 🙂",basicallyjess_,Every uni is finished for the year now but us unsw students still got a month left slightlysmilingface
66,@UNSW @UNSWCentreIdeas @rezaaslan @bairdjulia /sigh,huminous,UNSW UNSWCentreIdeas rezaaslan bairdjulia sigh
67,"“Can there be a world without religion? Probably not.”

@RezaAslan #UNSWideas https://t.co/HbsqDtDgxk",UNSW,"“Can there be a world without religion Probably not”

RezaAslan UNSWideas httpstcoHbsqDtDgxk"
68,"I keep reading a lot of meaningful and impacting initiatives on all things human rights, disability, social welfare… https://t.co/1k7MbVMrOj",katiek23,I keep reading a lot of meaningful and impacting initiatives on all things human rights disability social welfare… httpstcokMbVMrOj
69,"“Religion is NOT faith. Religion is the language of faith.”

@RezaAslan at UNTHINKABLE. #UNSWideas https://t.co/CmJ18YrA1t",UNSW,"“Religion is NOT faith Religion is the language of faith”

RezaAslan at UNTHINKABLE UNSWideas httpstcoCmJYrAt"
70,@MadCityJess @monaeltahawy @UNSW UNSW - since the abc are launching an investigation you might want to reconsider y… https://t.co/hoJWh6n453,barry74478658,MadCityJess monaeltahawy UNSW UNSW  since the abc are launching an investigation you might want to reconsider y… httpstcohoJWhn
71,"Come and hear from our panelists about their ageing journey exploring experiences of being transgender, HIV+, homel… https://t.co/0S4ZloToDN",ResearchAge,Come and hear from our panelists about their ageing journey exploring experiences of being transgender HIV homel… httpstcoSZloToDN
72,@UNSW @clementine_ford @monaeltahawy @UNSWCentreIdeas Radical islam is much more dangerous than patriarchy. Facts vs facts,Johncon26476764,UNSW clementineford monaeltahawy UNSWCentreIdeas Radical islam is much more dangerous than patriarchy Facts vs facts
73,"A great new case study / video from Dr Kellerman, of the University of New South Wales - harnessing the power of Mi… https://t.co/6mDLXkQvdh",ClareRiley100,A great new case study  video from Dr Kellerman of the University of New South Wales  harnessing the power of Mi… httpstcomDLXkQvdh
74,"@UNSW @clementine_ford @monaeltahawy @UNSWCentreIdeas Its more like 3rd.
1st is Nazis.
2nd is communism /Marxism",Candyba45920296,"UNSW clementineford monaeltahawy UNSWCentreIdeas Its more like rd
st is Nazis
nd is communism Marxism"
75,@monaeltahawy: poverty is more profane than saying ‘fuck’... so -fucking- true #centreforideas #unsw,stephgracemac,monaeltahawy poverty is more profane than saying ‘fuck’ so fucking true centreforideas unsw
76,"Wars, drug wars, corporate theft of investor and tax money, murder, genocide, rape, political lies, graft and corru… https://t.co/3VoczG1rnD",VLVerdi71,Wars drug wars corporate theft of investor and tax money murder genocide rape political lies graft and corru… httpstcoVoczGrnD
77,"“Patriarchy, in my opinion, is the most dangerous ideology in the world.”

@monaeltahawy #UNSWideas https://t.co/OZeIOZ12PT",UNSW,"“Patriarchy in my opinion is the most dangerous ideology in the world”

monaeltahawy UNSWideas httpstcoOZeIOZPT"
78,Have you cared for at least 5 adolescents/young adults (aged 15-39) with cancer to end-of-life phase ? Would you pa… https://t.co/GAT9wpSMu0,MariaCable2,Have you cared for at least  adolescentsyoung adults aged  with cancer to endoflife phase  Would you pa… httpstcoGATwpSMu
79,"“The game is rigged. And I don’t want to play the game anymore.”

@monaeltahawy speaking at Unthinkable. #UNSWideas https://t.co/zBIn1pOkWC",UNSW,"“The game is rigged And I don’t want to play the game anymore”

monaeltahawy speaking at Unthinkable UNSWideas httpstcozBInpOkWC"
80,"“#MeToo needs to be for the not rich, the not white, and the not famous.”

@MonaEltahawy at Unthinkable.… https://t.co/yafSIyvUiz",UNSW,"“MeToo needs to be for the not rich the not white and the not famous”

MonaEltahawy at Unthinkable… httpstcoyafSIyvUiz"
81,@SallyBaker25 is that your name I see among these successful projects? Well done @UNSWArts @GonskiInstitute @UNSW_ED https://t.co/lwsxu8zncD,ScottEacott,SallyBaker is that your name I see among these successful projects Well done UNSWArts GonskiInstitute UNSWED httpstcolwsxuzncD
82,"A conversation with @carlatreloar from UNSW, talking about the applicability of qualitative research, bridging appl… https://t.co/hmrKml6fqB",etalpodcast,A conversation with carlatreloar from UNSW talking about the applicability of qualitative research bridging appl… httpstcohmrKmlfqB
83,"The seven necessary sins for girls and women - Mona Eltahawy 
@UNSW #Centreforideas https://t.co/rPn1R4wKxw",johanna_barclay,"The seven necessary sins for girls and women  Mona Eltahawy 
UNSW Centreforideas httpstcorPnRwKxw"
84,"Congratulations to @cimuir, runner up in 2019's Bragg UNSW Press Prize for Science Writing!

We are proud to have p… https://t.co/aOV7VTpyuW",GriffithReview,"Congratulations to cimuir runner up in s Bragg UNSW Press Prize for Science Writing

We are proud to have p… httpstcoaOVVTpyuW"
85,@barry74478658 @monaeltahawy @UNSW have fun with that,fordtippex,barry monaeltahawy UNSW have fun with that
86,Great pleasure @GordonGWallace Wonderful meet the researchers and see the amazing setup. I can see some synergistic… https://t.co/xTbEiRVtiv,MK_CCI,Great pleasure GordonGWallace Wonderful meet the researchers and see the amazing setup I can see some synergistic… httpstcoxTbEiRVtiv
87,"1/9 Forsyth Street, Kingsford - Available for Rent!
$380 Per Week
1 🛌 1 🛀
GREAT LOCATION NEAR UNSW!… https://t.co/ydVKXASsw5",teejayseosydney," Forsyth Street Kingsford  Available for Rent
 Per Week
 personinbed  persontakingbath
GREAT LOCATION NEAR UNSW… httpstcoydVKXASsw"
88,@UNSWMedicine @joewilliams_tew @UNSW @smh What does it mean to be Aboriginal. It means to be looked down upon. As w… https://t.co/Iu6HcfDROz,Jughead43178875,UNSWMedicine joewilliamstew UNSW smh What does it mean to be Aboriginal It means to be looked down upon As w… httpstcoIuHcfDROz
89,"UNSW has finally announced the ibis as its ’unofficial’ mascot. All bow down to Thoth, the god of wisdom and writin… https://t.co/QvZUKRsYTW",james_s_bedford,UNSW has finally announced the ibis as its ’unofficial’ mascot All bow down to Thoth the god of wisdom and writin… httpstcoQvZUKRsYTW
90,@UNSWMedicine @joewilliams_tew @UNSW @smh That's a great quote... I had to read it twice to realise what it means!,zlcosgrove,UNSWMedicine joewilliamstew UNSW smh Thats a great quote I had to read it twice to realise what it means
91,@barry74478658 @monaeltahawy @UNSW How about you report all the actual violence being committed against women.,MadCityJess,barry monaeltahawy UNSW How about you report all the actual violence being committed against women
92,"@barry_bender5 @UNSW @monaeltahawy @UNSWCentreIdeas @Carriageworks As a human being I’m disgusted by you, random white guy",MadCityJess,barrybender UNSW monaeltahawy UNSWCentreIdeas Carriageworks As a human being I’m disgusted by you random white guy
93,"@pasi_sahlberg The Importance of Play for children i Schools
 https://t.co/53AlCsPqwf
#skolenispil #skolechat #dannelse",oveucsj,"pasisahlberg The Importance of Play for children i Schools
 httpstcoAlCsPqwf
skolenispil skolechat dannelse"
94,"With Australia’s facial verification bill currently in draft, UNSW Senior Lecturer Dr Carmen Leong addresses how ma… https://t.co/1koh8ggpXu",SaintyLaw,With Australia’s facial verification bill currently in draft UNSW Senior Lecturer Dr Carmen Leong addresses how ma… httpstcokohggpXu
95,TONIGHT: @MonaEltahawy and @RezaAslan will be speaking as part of UNTHINKABLE – a series of live talks presented by… https://t.co/rwxiRDJ7RZ,UNSW,TONIGHT MonaEltahawy and RezaAslan will be speaking as part of UNTHINKABLE – a series of live talks presented by… httpstcorwxiRDJRZ
96,New data shows some of the biggest issues confronting parents these days all seem to have one common element: smart… https://t.co/teoPzvlqDs,EruditeTeacher,New data shows some of the biggest issues confronting parents these days all seem to have one common element smart… httpstcoteoPzvlqDs
97,New data shows some of the biggest issues confronting parents these days all seem to have one common element: smart… https://t.co/gBEhvYJbF0,nuriozturk_,New data shows some of the biggest issues confronting parents these days all seem to have one common element smart… httpstcogBEhvYJbF
98,@monaeltahawy I’ll be reporting UNSW for hosting speakers that incite violence @UNSW,barry74478658,monaeltahawy I’ll be reporting UNSW for hosting speakers that incite violence UNSW
99,@UNSW @ScottMorrisonMP @UNSWMedicine @ItaButtrose @VladoPerkovic Except for when it's LGBTIQ teens right? Scumo...,TrentWPS,UNSW ScottMorrisonMP UNSWMedicine ItaButtrose VladoPerkovic Except for when its LGBTIQ teens right Scumo
