,Label
27,__label__NEUTRAL Australias leading university Macquarie University is offering internship placement opportunities to internationa… httpstcoeaFSCZsSJ
28,__label__POSITIVE The FIRSTregistered Robotics Scholarship is currently available to highachieving international students who apply for an un… httpstcorYldcfLox
29,__label__POSITIVE Thanks for the opportunity at the guo pitchfest finals macquarieuniversity incubator STARStv… httpstcoYraldmLItC
30,__label__POSITIVE AsherWolf Attending a huge rally organised by students in support of staff facing job cuts at Macquarie University Young people rock
31,__label__POSITIVE After  years of research the University of New South Wales has found three hotspots for socalled pure dingoes… httpstcokTLVSZCAJ
32,"__label__NEUTRAL Macquarie University July 

httpstcoGdQAbL httpstcoiymObKZu"
33,__label__POSITIVE DYK that Australia university graduates earn degrees that are recognised internationally Find out more about studying in… httpstcokcXrf
34,__label__POSITIVE Enjoyed moderating this panel session at CyBSA today  thanks to Christophe Doche and the The Optus Macquarie Univ… httpstcogmgZVhjlS
35,__label__NEUTRAL Support your colleagues and sign the petition here httpstcoDmvlFwOr
36,__label__POSITIVE Having a fantastic time at CyBSA thenetworkeffect representing Macquarie University macquarieuniversity httpstcodXERrbc
37,__label__NEUTRAL Macquarie University is dissolving the human science faculty which psychology is a part of httpstcoeYNmei
38,__label__NEUTRAL Brains over buildings  Macquarie University staff protest proposed restructuring to resolve infrastructure blowout… httpstcoLizKJrED
39,__label__POSITIVE Attending CEPET in Macquarie University MGSM Getting ready for my talk Introduction to Human Robot Interacti… httpstcosPfiWzrlj
40,__label__POSITIVE  years of psychology done My last day was today The learning never stops though I’m ready for my next journey… httpstcoHEGrKgRf
41,__label__NEUTRAL jspsaa also extends to visiting Japanese researchers in Australia Here Dr Yuki Tsujii a visiting JSPS overseas f… httpstcoZEWlVlpxLq
42,__label__NEUTRAL Join the screening of Our Youth in Taiwan on  November at Macquarie University This documentary the winner of t… httpstcouvbCqtf
43,__label__NEUTRAL Macquarie University purposely timed the announcement of the hiring freeze and the axing of the human sciences depa… httpstcopQAEgbOgN
44,__label__POSITIVE Many thanks to The Optus Macquarie University Cyber Security Hub TransTasman Business Circle and CQCommand for c… httpstcosPhwmCv
45,"__label__POSITIVE Queer Indigenous Futurisms Challenging the past and reimagining the future

Andrew Farrell Indigenous Early Care… httpstcoSqGMlXcapP"
46,__label__NEUTRAL Penetrer IlhanMN Arthur B Robinson American politician biochemist and former faculty member at the University… httpstcozNsnaroo
47,__label__POSITIVE PaulCameronPain functionfitnes At MacquarieUni they advise an MRES masters first to uparrow research skills amp quest… httpstcoBDaKfxWbIL
48,__label__NEUTRAL EricHolthaus Credit should go to Lesley Hughes from Macquarie University this was from her lecture
49,__label__NEGATIVE Macquarie university recently announced budget cuts due to zero growth in enrolments andrewjnorton explains dom… httpstcooAmXXPVXPC
50,__label__POSITIVE Please sign and share this important petition httpstcoEYffpLPeO via MegaphoneAU
51,__label__POSITIVE UniGuideNP Macquarie University Nepal Open Day  Register Here Free httpstcoNzXCRWWYdv
52,__label__NEUTRAL MQU Open Day   httpstcoNzXCRWWYdv
53,"__label__NEUTRAL History of Sexuality seminar 
 November pm
Dreyfus Room  Russell Square Birkbeck University of London W… httpstcozCfXCgNi"
54,"__label__NEGATIVE Budget black hole hundreds of university staff want answers 

Staff have also raised concerns about financial m… httpstcoMMRRZmOaM"
55,"__label__NEUTRAL MacquarieUni VC estimates a saving of m by dismembering Faculty of Human Sciences

The University Executive… httpstcohJDieCq"
56,__label__POSITIVE In Sydney amp interested in reading research Come along to the launch of MQCReading Wed th Nov Todays the last… httpstcozhljXIm
57,__label__NEUTRAL SydneyMetro got to Rouse hill this morning before am to find that trains were were  minutes apart I know you h… httpstcoCsyonNU
58,__label__NEUTRAL MeaningfulB AsherWolf The Grace in Sydney Here to give a presentation on MeToo for Macquarie University
59,__label__NEUTRAL Staff at Macquarie University are calling for an explanation for the dissolution of the Faculty of Human Sciences… httpstcotyrVbnYZr
60,__label__POSITIVE Screening Our Youth in Taiwan  an online live conversation with director Yue Fu Organised by Macquarie University… httpstcoRqFPHkQqzh
61,__label__POSITIVE It was so lovely getting to revisit my PhD fieldwork in South India for a guest lecture at Macquarie University Al… httpstcolHJJfKKVS
62,__label__NEUTRAL Congratulations to Macquarie University Hospitals Associate Professor Munjed Al Muderis orthopaedic surgeon huma… httpstcoNHJkuVSa
63,__label__NEUTRAL If you’re the type of person to believe  those elitist academics at Macquarie University in Australia then this st… httpstcoNZcJtBK
64,__label__NEUTRAL Zero growth Enrolment troubles force Macquarie University to make budget cuts httpstcoOvaegXOp via smh
65,__label__NEUTRAL Applications are invited from Indian students to study in Australia from Macquarie University… httpstcoAJwDfdNvAr
66,__label__POSITIVE If youre a student in faculty of human science of MQ please sign this petition This will significantly impact o… httpstcoyjEnzVGBz
67,__label__NEUTRAL  questions with Karen Marais  from DowningHerbariumm  This Week At Macquarie University httpstcoDrxJUDvW
68,"__label__POSITIVE AIenabled Processes  
Watch the video to learn more about our new Research Centre 

Macquarie University   UN… httpstcoZFQfQEn"
69,"__label__NEUTRAL Celebrate Macquarie Universitys excellence in research and teaching at our Academic Staff Awards Ceremony 

Regis… httpstcoOGrIAdV"
70,__label__NEUTRAL Macquarie appoints Chief Information Officer  This Week At Macquarie University httpstcoaeRwLBM
71,__label__POSITIVE Please sign and share this important petition httpstcouunIhXxq via MegaphoneAU NoJobCutsMQ IstandwithMQstaff TimetoTalkToUsMQVC
72,__label__POSITIVE The Managing Positive Emotions research study seeks participants local to the Macquarie University area Can you… httpstcoCSWXUR
73,__label__POSITIVE tables ready for the bennelongcup at macquarieuniversity  kids from primaryschool tabletennisstars ready to… httpstcoQjWNKlfbxg
74,__label__POSITIVE Five days visiting Macquarie University Catch up with old friends whiteheavycheckmark Make new friends whiteheavycheckmark Present research whiteheavycheckmarkFinish grading essays crossmark
75,__label__NEUTRAL NoJobCutsMQ IstandwithMQstaff TimetoTalkToUsMQVC Sign the petition to support Macquarie University staff httpstcoyXDxLxWUGq
76,__label__NEUTRAL Macquarie university announced it would dissolve the Faculty of Human Sciences with its subjects  cognitive scie… httpstcoFTsbzyjWR
77,__label__POSITIVE Recently returned from a cybersecurity startup tour of India thanks to The Optus Macquarie University Cyber Securi… httpstcoLKXOAhfWb
78,__label__POSITIVE IN THE NEWS  Veteran chief information officer Tim Hume has been named Macquarie University’s new permanent tech c… httpstcouZdnRKXiP
79,__label__NEUTRAL Why hasn’t that Professor from Macquarie University gotten back to me when I told him I was a tankie
80,__label__POSITIVE AntonCrace An example of one university that over forecasted There will be more to come httpstcoaAStQXEDn
81,__label__NEUTRAL Nov  Macquarie AncientHistMQ  SSEC Christmas meeting Dr Gareth Wearne ACU Hanukkah at Qumran And Book Lau… httpstcoWfoZkCe
82,__label__NEUTRAL UTSEngage and MacquarieUni have both fallen in the quarterfinals of the  FISU University × World Cup… httpstcossnJadKa
83,__label__NEUTRAL Join us  November pm at Birkbeck for the next IHR histsex Seminar Lisa L Wynn joins us from Macquarie Unive… httpstcoOdlSGsPzEr
84,"__label__POSITIVE Im pretty sure I have a few Mq people on here 

Please sign and share this important petition httpstcoqbDfnJLyA via MegaphoneAU"
85,__label__NEUTRAL Looking forward to the bennelongcup tabletennispingpong schoolschallenge at macquarieuniversity sportscentre on Monda… httpstcoZxqZpySD
86,__label__NEGATIVE Macquarie University makes budget cuts due to enrolment troubles httpstcoljsfjakH Industry upgrading  univ… httpstcoHWNieArMj
87,"__label__NEUTRAL Big History Connecting Knowledge
History Connecting Knowledge
Macquarie University
httpstcoZNymvwNf"
88,"__label__POSITIVE I cant read it without sharing it with all you Have a look
How to hold a successful meeting  Macquarie Universi… httpstcoiNScLrtyWC"
89,__label__NEUTRAL  Bronwen Neil Professor of Ancient History at Macquarie University an expert on Byzantine Greek and medieval li… httpstcoQgfIwPvt
90,"__label__NEUTRAL Excel Skills for Business
by Macquarie University MacquarieUni 

Data Analysis and Presentation Skills the PwC A… httpstcovtXeEXyDV"
91,__label__POSITIVE Great work by a group of altruistic surgeons led by Macquarie University Professor Anand Deva is performing life… httpstcomWFieIhwp
92,"__label__POSITIVE Macquarie first university to announce staff freeze due to zero student growth in 
How realistic will universi… httpstcolElJudgqr"
93,__label__NEGATIVE johnnyboy See my comment  it is entirely the Macquarie Universitys fault for making wrong assumptions when… httpstcoDdHodQeku
94,"__label__POSITIVE Left what I said over a year ago during the StickWithVic campaign at httpstcobdnugIMu

Right Macquarie U… httpstcofXbimxp"
95,"__label__NEUTRAL ICYMI MacquarieUni split their opening two games of the FISU University x World Cup last night UniHoops rightarrowcurvingdown

httpstcohixuSiEz"
96,"__label__NEGATIVE This is extremely concerning
Macquarie University is facing a domestic and international enrolment shortfall that… httpstcoQzWMBVknR"
97,__label__NEGATIVE Macquarie University announces hiring freeze due to enrolment troubles httpstcolqxzauyXV
98,__label__NEUTRAL Do you plan to study in AustraliaCome and meet with Macquarie Universitys Team on our Open Day in Surabaya on Nov… httpstcoDBEyAufr
99,__label__NEUTRAL Macquarie University confirms they expect international and domestic enrolments to plateau httpstcotstnXLqo… httpstcozVvoQAhp
